"Qubit","T1 (us)","T2 (us)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","RX error ","Z-axis rotation (rz) error ","âˆšx (sx) error ","Pauli-X error ","CZ error ","RZZ error ","Gate time (ns)","Operational"
"0","206.6797724632021","176.33100421725297","0.053466796875","0.03564453125","0.0712890625","2600","0.00023507416128019554","0.00023507416128019554","0","0.00023507416128019554","0.00023507416128019554","0_1:1","0_1:0.00038347180187170427","0_1:68","true"
"1","243.2006086324176","343.9598535552747","0.425048828125","0.84619140625","0.00390625","2600","0.00037251965614764926","0.00037251965614764926","0","0.00037251965614764926","0.00037251965614764926","1_2:1;1_0:1","1_2:0.002110851314421791;1_0:0.00038347180187170427","1_2:68;1_0:68","true"
"2","381.9440519735418","79.8883225577779","0.06005859375","0.01123046875","0.10888671875","2600","0.00015690179934265474","0.00015690179934265474","0","0.00015690179934265474","0.00015690179934265474","2_1:1;2_3:0.00128072896207726","2_1:0.002110851314421791;2_3:0.0024661309785156127","2_1:68;2_3:68","true"
"3","330.55652890901024","63.6474596311046","0.066650390625","0.02685546875","0.1064453125","2600","0.00016362809396863566","0.00016362809396863566","0","0.00016362809396863566","0.00016362809396863566","3_16:0.0016028767869636362;3_2:0.00128072896207726;3_4:0.0015221828518700575","3_16:0.0034253081672367958;3_2:0.0024661309785156127;3_4:0.0028526063487111786","3_16:68;3_2:68;3_4:68","true"
"4","128.43755859414685","58.52765224855762","0.005615234375","0.009765625","0.00146484375","2600","0.0004316281776969968","0.0004316281776969968","0","0.0004316281776969968","0.0004316281776969968","4_3:0.0015221828518700575;4_5:0.002157556608540584","4_3:0.0028526063487111786;4_5:0.005547539810235397","4_3:68;4_5:68","true"
"5","263.73018841615584","64.54117455899222","0.00341796875","0.00634765625","0.00048828125","2600","0.0001684648175647748","0.0001684648175647748","0","0.0001684648175647748","0.0001684648175647748","5_6:0.0014337895856424976;5_4:0.002157556608540584","5_6:0.005244016996180989;5_4:0.005547539810235397","5_6:68;5_4:68","true"
"6","330.9716493223954","85.46360511200615","0.004150390625","0.00439453125","0.00390625","2600","0.0001362750820581871","0.0001362750820581871","0","0.0001362750820581871","0.0001362750820581871","6_5:0.0014337895856424976;6_7:0.0012606497264963656","6_5:0.005244016996180989;6_7:0.004604288440662324","6_5:68;6_7:68","true"
"7","251.57337339684415","58.16600629019451","0.010009765625","0.01123046875","0.0087890625","2600","0.0001697462711527984","0.0001697462711527984","0","0.0001697462711527984","0.0001697462711527984","7_17:0.0014546990615144084;7_6:0.0012606497264963656;7_8:0.00593593349914423","7_17:0.0033723533873476763;7_6:0.004604288440662324;7_8:0.0046170761191564325","7_17:68;7_6:68;7_8:68","true"
"8","131.84339750782527","153.76383548304202","0.003173828125","0.005859375","0.00048828125","2600","0.00026813350435235273","0.00026813350435235273","0","0.00026813350435235273","0.00026813350435235273","8_9:0.0038948179389000914;8_7:0.00593593349914423","8_9:0.0031135902629078893;8_7:0.0046170761191564325","8_9:68;8_7:68","true"
"9","320.32729625017413","390.44218310776654","0.00732421875","0.01416015625","0.00048828125","2600","0.00008622313462589746","0.00008622313462589746","0","0.00008622313462589746","0.00008622313462589746","9_8:0.0038948179389000914;9_10:0.0025094155033154875","9_8:0.0031135902629078893;9_10:0.0018442979765324052","9_8:68;9_10:68","true"
"10","238.77679683558287","234.40124145363254","0.009033203125","0.0087890625","0.00927734375","2600","0.00045252372013822697","0.00045252372013822697","0","0.00045252372013822697","0.00045252372013822697","10_9:0.0025094155033154875;10_11:0.004816950849799523","10_9:0.0018442979765324052;10_11:0.0021666026679180994","10_9:68;10_11:68","true"
"11","317.5271217283367","39.21683624351857","0.001953125","0.00341796875","0.00048828125","2600","0.0005031023354872183","0.0005031023354872183","0","0.0005031023354872183","0.0005031023354872183","11_18:0.0015433624761931608;11_10:0.004816950849799523;11_12:0.0045408359077780125","11_18:0.0018755735818449248;11_10:0.0021666026679180994;11_12:0.0018211097975920076","11_18:68;11_10:68;11_12:68","true"
"12","279.38607973676835","209.47716712475443","0.006103515625","0.00927734375","0.0029296875","2600","0.0001525727233793274","0.0001525727233793274","0","0.0001525727233793274","0.0001525727233793274","12_13:0.003918618222908704;12_11:0.0045408359077780125","12_13:0.00867776926004804;12_11:0.0018211097975920076","12_13:68;12_11:68","true"
"13","253.5717012311036","146.40710277136228","0.001708984375","0.00244140625","0.0009765625","2600","0.00046793853491590063","0.00046793853491590063","0","0.00046793853491590063","0.00046793853491590063","13_12:0.003918618222908704;13_14:0.0015890555497771464","13_12:0.00867776926004804;13_14:0.0015669393246704466","13_12:68;13_14:68","true"
"14","272.15676875699404","224.60255308348232","0.0048828125","0.0078125","0.001953125","2600","0.00026978425990184393","0.00026978425990184393","0","0.00026978425990184393","0.00026978425990184393","14_15:0.0022779375682783765;14_13:0.0015890555497771464","14_15:0.002717655414605419;14_13:0.0015669393246704466","14_15:68;14_13:68","true"
"15","399.48768184646616","308.6172672668691","0.00439453125","0.0087890625","0","2600","0.00015438246045219937","0.00015438246045219937","0","0.00015438246045219937","0.00015438246045219937","15_14:0.0022779375682783765;15_19:0.003740132453778716","15_14:0.002717655414605419;15_19:0.005017284329329796","15_14:68;15_19:68","true"
"16","208.30924094663263","120.40550962403358","0.00830078125","0.01025390625","0.00634765625","2600","0.0003272546482381394","0.0003272546482381394","0","0.0003272546482381394","0.0003272546482381394","16_23:0.0012731708325436908;16_3:0.0016028767869636362","16_23:0.0021491497136456317;16_3:0.0034253081672367958","16_23:68;16_3:68","true"
"17","344.17853389083797","82.07956709984575","0.00390625","0.0068359375","0.0009765625","2600","0.00013618925401592697","0.00013618925401592697","0","0.00013618925401592697","0.00013618925401592697","17_7:0.0014546990615144084;17_27:0.0014260914699716631","17_7:0.0033723533873476763;17_27:0.003061218317591541","17_7:68;17_27:68","true"
"18","164.9778443472426","245.9607431118164","0.00390625","0.0078125","0","2600","0.00015667671939686664","0.00015667671939686664","0","0.00015667671939686664","0.00015667671939686664","18_11:0.0015433624761931608;18_31:0.001015676525508269","18_11:0.0018755735818449248;18_31:0.001707435398251217","18_11:68;18_31:68","true"
"19","253.99609453786505","197.12918862919182","0.00390625","0.00634765625","0.00146484375","2600","0.00020037337203182004","0.00020037337203182004","0","0.00020037337203182004","0.00020037337203182004","19_35:0.06217241603620971;19_15:0.003740132453778716","19_35:1;19_15:0.005017284329329796","19_35:96;19_15:68","true"
"20","222.11834780213198","174.63737437928927","0.015625","0.03076171875","0.00048828125","2600","0.00011518119595785076","0.00011518119595785076","0","0.00011518119595785076","0.00011518119595785076","20_21:0.002513887500296297","20_21:0.001705927265385071","20_21:68","true"
"21","253.48932882862672","229.15593917623218","0.004150390625","0.0048828125","0.00341796875","2600","0.00010383184767343722","0.00010383184767343722","0","0.00010383184767343722","0.00010383184767343722","21_36:0.0014015104813963064;21_20:0.002513887500296297;21_22:0.0012343231764349039","21_36:0.0020845938991441437;21_20:0.001705927265385071;21_22:0.006601635475238288","21_36:68;21_20:68;21_22:68","true"
"22","95.62896802947022","110.55644862779914","0.003662109375","0.00634765625","0.0009765625","2600","0.00030204468908188103","0.00030204468908188103","0","0.00030204468908188103","0.00030204468908188103","22_23:0.0014449719113093507;22_21:0.0012343231764349039","22_23:0.003509994981933051;22_21:0.006601635475238288","22_23:68;22_21:68","true"
"23","327.7747906130602","227.61519630149184","0.057861328125","0.041015625","0.07470703125","2600","0.0001788565822802844","0.0001788565822802844","0","0.0001788565822802844","0.0001788565822802844","23_22:0.0014449719113093507;23_24:0.0014872207343852029;23_16:0.0012731708325436908","23_22:0.003509994981933051;23_24:0.00279666837391071;23_16:0.0021491497136456317","23_22:68;23_24:68;23_16:68","true"
"24","243.16226817952668","68.71262169977885","0.0068359375","0.00732421875","0.00634765625","2600","0.0001735571665146511","0.0001735571665146511","0","0.0001735571665146511","0.0001735571665146511","24_23:0.0014872207343852029;24_25:0.0015285824296811523","24_23:0.00279666837391071;24_25:1","24_23:68;24_25:68","true"
"25","241.1639399765023","67.55338548563795","0.00830078125","0.01220703125","0.00439453125","2600","0.0001641488390613292","0.0001641488390613292","0","0.0001641488390613292","0.0001641488390613292","25_24:0.0015285824296811523;25_26:0.0042637803698075405;25_37:0.0018270339970093696","25_24:1;25_26:1;25_37:0.004626288167724063","25_24:68;25_26:80;25_37:68","true"
"26","170.16608740053846","76.52183122762781","0.00732421875","0.01123046875","0.00341796875","2600","0.00041752434356448205","0.00041752434356448205","0","0.00041752434356448205","0.00041752434356448205","26_25:0.0042637803698075405;26_27:0.0018200171826580624","26_25:1;26_27:0.0027829596920092015","26_25:80;26_27:68","true"
"27","439.9505005174563","81.43774999166399","0.007080078125","0.0107421875","0.00341796875","2600","0.0002065519241447321","0.0002065519241447321","0","0.0002065519241447321","0.0002065519241447321","27_26:0.0018200171826580624;27_28:0.00238975231140362;27_17:0.0014260914699716631","27_26:0.0027829596920092015;27_28:0.0032724775996925415;27_17:0.003061218317591541","27_26:68;27_28:68;27_17:68","true"
"28","169.7899034710448","68.16026772867478","0.00927734375","0.01513671875","0.00341796875","2600","0.0002391059296648519","0.0002391059296648519","0","0.0002391059296648519","0.0002391059296648519","28_27:0.00238975231140362;28_29:0.0019701490671808486","28_27:0.0032724775996925415;28_29:0.002621393562766361","28_27:68;28_29:68","true"
"29","247.25818355723294","19.118761780054502","0.003662109375","0.0068359375","0.00048828125","2600","0.00016743214659251926","0.00016743214659251926","0","0.00016743214659251926","0.00016743214659251926","29_38:0.0012662908207654866;29_28:0.0019701490671808486;29_30:0.0030725796817581696","29_38:0.003648860358622691;29_28:0.002621393562766361;29_30:0.0039290215877196555","29_38:68;29_28:68;29_30:68","true"
"30","116.98850608845737","146.82604072980953","0.005126953125","0.009765625","0.00048828125","2600","0.00019540595091253519","0.00019540595091253519","0","0.00019540595091253519","0.00019540595091253519","30_31:0.07209343968312773;30_29:0.0030725796817581696","30_31:1;30_29:0.0039290215877196555","30_31:68;30_29:68","true"
"31","290.99087413177153","212.81451606061793","0.003662109375","0.00634765625","0.0009765625","2600","0.0002606923952250364","0.0002606923952250364","0","0.0002606923952250364","0.0002606923952250364","31_30:0.07209343968312773;31_32:0.0040264618167677735;31_18:0.001015676525508269","31_30:1;31_32:0.004224488448122343;31_18:0.001707435398251217","31_30:68;31_32:68;31_18:68","true"
"32","112.49214264957263","156.04905080012023","0.009033203125","0.0166015625","0.00146484375","2600","0.00029104938459831867","0.00029104938459831867","0","0.00029104938459831867","0.00029104938459831867","32_31:0.0040264618167677735;32_33:0.0018256887588804782","32_31:0.004224488448122343;32_33:0.003328987611571521","32_31:68;32_33:68","true"
"33","232.75807408516502","173.2731366934476","0.004638671875","0.0087890625","0.00048828125","2600","0.00022163310354227363","0.00022163310354227363","0","0.00022163310354227363","0.00022163310354227363","33_39:0.0013796022407343567;33_32:0.0018256887588804782;33_34:0.0010780992888589358","33_39:0.003728452654390202;33_32:0.003328987611571521;33_34:0.0024522854102781155","33_39:68;33_32:68;33_34:68","true"
"34","231.56458328517354","164.95041174847358","0.018310546875","0.02099609375","0.015625","2600","0.0001568943332322365","0.0001568943332322365","0","0.0001568943332322365","0.0001568943332322365","34_33:0.0010780992888589358;34_35:0.0013671229595594303","34_33:0.0024522854102781155;34_35:0.0042003310488129275","34_33:68;34_35:68","true"
"35","387.23181696407454","291.22745375983436","0.0078125","0.00927734375","0.00634765625","2600","0.00024198197561543306","0.00024198197561543306","0","0.00024198197561543306","0.00024198197561543306","35_19:0.06217241603620971;35_34:0.0013671229595594303","35_19:1;35_34:0.0042003310488129275","35_19:96;35_34:68","true"
"36","74.40142106802864","92.97647044320365","0.00927734375","0.0087890625","0.009765625","2600","0.00021626876079013747","0.00021626876079013747","0","0.00021626876079013747","0.00021626876079013747","36_41:0.00213970048371509;36_21:0.0014015104813963064","36_41:0.002810696423287462;36_21:0.0020845938991441437","36_41:68;36_21:68","true"
"37","191.079323382383","84.56319265309813","0.02197265625","0.02734375","0.0166015625","2600","0.00019529427124347992","0.00019529427124347992","0","0.00019529427124347992","0.00019529427124347992","37_45:1;37_25:0.0018270339970093696","37_45:1;37_25:0.004626288167724063","37_45:68;37_25:68","true"
"38","118.55925199811067","51.493603102530294","0.010009765625","0.01513671875","0.0048828125","2600","0.00016196633565519826","0.00016196633565519826","0","0.00016196633565519826","0.00016196633565519826","38_29:0.0012662908207654866;38_49:0.0024646490114274555","38_29:0.003648860358622691;38_49:0.002996875588816894","38_29:68;38_49:68","true"
"39","95.15706487862813","121.37460462234922","0.00634765625","0.01123046875","0.00146484375","2600","0.000277375620675972","0.000277375620675972","0","0.000277375620675972","0.000277375620675972","39_53:0.002202818324080036;39_33:0.0013796022407343567","39_53:0.002203817328469082;39_33:0.003728452654390202","39_53:68;39_33:68","true"
"40","226.12311968734534","91.53981405696344","0.059814453125","0.06103515625","0.05859375","2600","0.00011097849067426434","0.00011097849067426434","0","0.00011097849067426434","0.00011097849067426434","40_41:0.002136224661623526","40_41:0.003150028314458625","40_41:68","true"
"41","145.8789838163028","35.2257842541217","0.00390625","0.00732421875","0.00048828125","2600","0.0002685464988345317","0.0002685464988345317","0","0.0002685464988345317","0.0002685464988345317","41_40:0.002136224661623526;41_42:0.0037680943669809175;41_36:0.00213970048371509","41_40:0.003150028314458625;41_42:0.0038180630770466573;41_36:0.002810696423287462","41_40:68;41_42:68;41_36:68","true"
"42","181.89730726637885","68.0095317462308","0.031982421875","0.03564453125","0.0283203125","2600","0.0003723925471412195","0.0003723925471412195","0","0.0003723925471412195","0.0003723925471412195","42_41:0.0037680943669809175;42_43:0.0023397322254237463","42_41:0.0038180630770466573;42_43:0.004848607153386197","42_41:68;42_43:68","true"
"43","273.8911404975736","171.52315137331317","0.005615234375","0.00634765625","0.0048828125","2600","0.00028620862687546406","0.00028620862687546406","0","0.00028620862687546406","0.00028620862687546406","43_42:0.0023397322254237463;43_56:0.0014278060520681313;43_44:0.005139958049087706","43_42:0.004848607153386197;43_56:0.00233851112189587;43_44:0.0023088135801964393","43_42:68;43_56:68;43_44:68","true"
"44","303.35835091815585","435.56015451379915","0.019287109375","0.02197265625","0.0166015625","2600","0.00011853546526756826","0.00011853546526756826","0","0.00011853546526756826","0.00011853546526756826","44_45:0.0023089863329200377;44_43:0.005139958049087706","44_45:0.0020982228539441206;44_43:0.0023088135801964393","44_45:68;44_43:68","true"
"45","314.7044268207637","306.128668246113","0.004638671875","0.0087890625","0.00048828125","2600","0.00039230751058819325","0.00039230751058819325","0","0.00039230751058819325","0.00039230751058819325","45_44:0.0023089863329200377;45_46:0.0015927113879816435;45_37:1","45_44:0.0020982228539441206;45_46:0.0024011093948732576;45_37:1","45_44:68;45_46:68;45_37:68","true"
"46","141.3464712173838","50.842955391351445","0.026611328125","0.0517578125","0.00146484375","2600","0.00019130487988708712","0.00019130487988708712","0","0.00019130487988708712","0.00019130487988708712","46_45:0.0015927113879816435;46_47:0.007602923706516301","46_45:0.0024011093948732576;46_47:0.001949547006629998","46_45:68;46_47:68","true"
"47","217.73626897633036","185.05959124044153","0.00390625","0.0078125","0","2600","0.00033676744547789635","0.00033676744547789635","0","0.00033676744547789635","0.00033676744547789635","47_48:0.002607501925016825;47_57:0.002998680845250651;47_46:0.007602923706516301","47_48:0.0016011815379518846;47_57:0.0026740679123340716;47_46:0.001949547006629998","47_48:68;47_57:68;47_46:68","true"
"48","288.53041358396933","113.9666721395284","0.02392578125","0.0224609375","0.025390625","2600","0.0007640556723769988","0.0007640556723769988","0","0.0007640556723769988","0.0007640556723769988","48_47:0.002607501925016825;48_49:0.0016701909771512091","48_47:0.0016011815379518846;48_49:0.0038731392924743757","48_47:68;48_49:68","true"
"49","225.6265272948795","277.19443883832906","0.007080078125","0.01318359375","0.0009765625","2600","0.00025219275494947375","0.00025219275494947375","0","0.00025219275494947375","0.00025219275494947375","49_48:0.0016701909771512091;49_50:0.0016513729500050034;49_38:0.0024646490114274555","49_48:0.0038731392924743757;49_50:0.004255458260565392;49_38:0.002996875588816894","49_48:68;49_50:68;49_38:68","true"
"50","224.81368089966222","324.9507638339815","0.00244140625","0.00341796875","0.00146484375","2600","0.0005884528903931256","0.0005884528903931256","0","0.0005884528903931256","0.0005884528903931256","50_49:0.0016513729500050034;50_51:1","50_49:0.004255458260565392;50_51:0.0026537804220367056","50_49:68;50_51:68","true"
"51","343.4633867918756","172.5006249468418","0.002685546875","0.00390625","0.00146484375","2600","0.00018447329929374763","0.00018447329929374763","0","0.00018447329929374763","0.00018447329929374763","51_50:1;51_52:0.0016869843023820386;51_58:0.001482459794103691","51_50:0.0026537804220367056;51_52:0.002211569063229446;51_58:0.0030631936137476556","51_50:68;51_52:68;51_58:68","true"
"52","205.8364902660749","231.27454713907127","0.003662109375","0.0068359375","0.00048828125","2600","0.0004587206264996691","0.0004587206264996691","0","0.0004587206264996691","0.0004587206264996691","52_51:0.0016869843023820386;52_53:0.0014571633383938798","52_51:0.002211569063229446;52_53:0.0012142631839224538","52_51:68;52_53:68","true"
"53","179.54790753177443","172.991761959048","0.006103515625","0.01025390625","0.001953125","2600","0.0003028342182215236","0.0003028342182215236","0","0.0003028342182215236","0.0003028342182215236","53_39:0.002202818324080036;53_52:0.0014571633383938798;53_54:0.0015988555900361134","53_39:0.002203817328469082;53_52:0.0012142631839224538;53_54:0.0026335795018308794","53_39:68;53_52:68;53_54:68","true"
"54","253.19875410798076","204.48633446428184","0.02783203125","0.0302734375","0.025390625","2600","0.0004585785736546496","0.0004585785736546496","0","0.0004585785736546496","0.0004585785736546496","54_53:0.0015988555900361134;54_55:0.0018279883392934015","54_53:0.0026335795018308794;54_55:0.0028636209033552906","54_53:68;54_55:68","true"
"55","120.95787327210864","61.54410833117807","0.009033203125","0.01708984375","0.0009765625","2600","0.00019458876345233695","0.00019458876345233695","0","0.00019458876345233695","0.00019458876345233695","55_59:0.0020237696175543496;55_54:0.0018279883392934015","55_59:0.0024828496517252108;55_54:0.0028636209033552906","55_59:68;55_54:68","true"
"56","251.35556274603547","275.46029385536696","0.004150390625","0.00830078125","0","2600","0.00016867498768310322","0.00016867498768310322","0","0.00016867498768310322","0.00016867498768310322","56_63:0.005515780049103053;56_43:0.0014278060520681313","56_63:0.003928129277482456;56_43:0.00233851112189587","56_63:80;56_43:68","true"
"57","198.4475361178853","273.8692083375631","0.003173828125","0.00634765625","0","2600","0.00019851092284205952","0.00019851092284205952","0","0.00019851092284205952","0.00019851092284205952","57_47:0.002998680845250651;57_67:0.005033884284218165","57_47:0.0026740679123340716;57_67:0.0026420418970491133","57_47:68;57_67:100","true"
"58","130.39991825330586","210.97542185516693","0.024658203125","0.0224609375","0.02685546875","2600","0.0002716747715718837","0.0002716747715718837","0","0.0002716747715718837","0.0002716747715718837","58_71:0.005325836108465792;58_51:0.001482459794103691","58_71:0.00474305157684507;58_51:0.0030631936137476556","58_71:68;58_51:68","true"
"59","285.083544249347","62.078169330620675","0.01318359375","0.013671875","0.0126953125","2600","0.00027793677853664466","0.00027793677853664466","0","0.00027793677853664466","0.00027793677853664466","59_55:0.0020237696175543496;59_75:0.0013379934330865761","59_55:0.0024828496517252108;59_75:0.003884893458726002","59_55:68;59_75:68","true"
"60","164.01444000514294","20.39819458568763","0.015380859375","0.02099609375","0.009765625","2600","0.0003102083293941164","0.0003102083293941164","0","0.0003102083293941164","0.0003102083293941164","60_61:0.0016398401102767912","60_61:0.0022883054011063886","60_61:68","true"
"61","226.15272523431668","193.6163739129854","0.003173828125","0.005859375","0.00048828125","2600","0.00017237443522103856","0.00017237443522103856","0","0.00017237443522103856","0.00017237443522103856","61_76:0.00342652028626117;61_60:0.0016398401102767912;61_62:0.0032917426140353923","61_76:0.005483771870954529;61_60:0.0022883054011063886;61_62:0.0015644301918545656","61_76:68;61_60:68;61_62:68","true"
"62","142.4974678164216","184.7636584604275","0.0029296875","0.00537109375","0.00048828125","2600","0.00022528096725776177","0.00022528096725776177","0","0.00022528096725776177","0.00022528096725776177","62_61:0.0032917426140353923;62_63:0.003250693610920924","62_61:0.0015644301918545656;62_63:0.002599221723703693","62_61:68;62_63:68","true"
"63","351.1127681822332","261.4420161648198","0.0029296875","0.00390625","0.001953125","2600","0.00017773634794819893","0.00017773634794819893","0","0.00017773634794819893","0.00017773634794819893","63_56:0.005515780049103053;63_62:0.003250693610920924;63_64:0.0031526641309366776","63_56:0.003928129277482456;63_62:0.002599221723703693;63_64:0.0014902065252343222","63_56:80;63_62:68;63_64:68","true"
"64","160.95594980867045","181.1598105139809","0.001953125","0.00390625","0","2600","0.00024827556970022987","0.00024827556970022987","0","0.00024827556970022987","0.00024827556970022987","64_65:0.002592490625230204;64_63:0.0031526641309366776","64_65:0.003164669731999137;64_63:0.0014902065252343222","64_65:68;64_63:68","true"
"65","174.06509273660484","134.5558522654647","0.037109375","0.03955078125","0.03466796875","2600","0.0001976858254795299","0.0001976858254795299","0","0.0001976858254795299","0.0001976858254795299","65_64:0.002592490625230204;65_66:0.002103562720441099;65_77:0.0016379852848304732","65_64:0.003164669731999137;65_66:0.015297335635213627;65_77:0.00176517530942491","65_64:68;65_66:68;65_77:68","true"
"66","102.23157724313624","143.44021380497415","0.00732421875","0.0126953125","0.001953125","2600","0.00031520899945317146","0.00031520899945317146","0","0.00031520899945317146","0.00031520899945317146","66_65:0.002103562720441099;66_67:0.004069884863737994","66_65:0.015297335635213627;66_67:0.007332851696850995","66_65:68;66_67:68","true"
"67","225.72390013264612","85.85685560956509","0.00830078125","0.0126953125","0.00390625","2600","0.00016009792078440678","0.00016009792078440678","0","0.00016009792078440678","0.00016009792078440678","67_68:0.005484753642252427;67_57:0.005033884284218165;67_66:0.004069884863737994","67_68:0.0026459090900894378;67_57:0.0026420418970491133;67_66:0.007332851696850995","67_68:68;67_57:100;67_66:68","true"
"68","170.98464225919798","145.49902871921068","0.006591796875","0.009765625","0.00341796875","2600","0.00024369732319449072","0.00024369732319449072","0","0.00024369732319449072","0.00024369732319449072","68_67:0.005484753642252427;68_69:0.0017293564763598834","68_67:0.0026459090900894378;68_69:0.002361832529909208","68_67:68;68_69:68","true"
"69","147.3772671813506","217.84161595705473","0.006591796875","0.01171875","0.00146484375","2600","0.0002588643919656112","0.0002588643919656112","0","0.0002588643919656112","0.0002588643919656112","69_78:0.001143138969664087;69_68:0.0017293564763598834;69_70:0.0016387840084761962","69_78:0.0035741404278814004;69_68:0.002361832529909208;69_70:0.0024406047774308826","69_78:68;69_68:68;69_70:68","true"
"70","139.72740232446452","174.57161890767057","0.00439453125","0.0087890625","0","2600","0.0002906197860204385","0.0002906197860204385","0","0.0002906197860204385","0.0002906197860204385","70_69:0.0016387840084761962;70_71:0.10138712019627077","70_69:0.0024406047774308826;70_71:0.24996818164258364","70_69:68;70_71:88","true"
"71","225.52637033251682","115.79446718465596","0.014892578125","0.029296875","0.00048828125","2600","0.0003366849293034077","0.0003366849293034077","0","0.0003366849293034077","0.0003366849293034077","71_72:0.006381755083483209;71_58:0.005325836108465792;71_70:0.10138712019627077","71_72:0.010351308892545541;71_58:0.00474305157684507;71_70:0.24996818164258364","71_72:68;71_58:68;71_70:88","true"
"72","136.2826803728322","89.5999225742418","0.01953125","0.02197265625","0.01708984375","2600","0.00023725809095813679","0.00023725809095813679","0","0.00023725809095813679","0.00023725809095813679","72_73:0.10055398438854408;72_71:0.006381755083483209","72_73:0.24986220430841674;72_71:0.010351308892545541","72_73:80;72_71:68","true"
"73","220.97932262797644","336.96149605952064","0.0498046875","0.05615234375","0.04345703125","2600","0.00018079487042562556","0.00018079487042562556","0","0.00018079487042562556","0.00018079487042562556","73_72:0.10055398438854408;73_74:0.0014992253111125453;73_79:0.0018236586229419538","73_72:0.24986220430841674;73_74:0.0015317984363527881;73_79:0.001720581094227569","73_72:80;73_74:68;73_79:68","true"
"74","365.36508155023876","283.33464066341145","0.01513671875","0.01611328125","0.01416015625","2600","0.00015540861919769401","0.00015540861919769401","0","0.00015540861919769401","0.00015540861919769401","74_73:0.0014992253111125453;74_75:0.007937519871031279","74_73:0.0015317984363527881;74_75:1","74_73:68;74_75:76","true"
"75","264.3636311745955","375.0973242553187","0.010498046875","0.02001953125","0.0009765625","2600","0.00030037442938821114","0.00030037442938821114","0","0.00030037442938821114","0.00030037442938821114","75_59:0.0013379934330865761;75_74:0.007937519871031279","75_59:0.003884893458726002;75_74:1","75_59:68;75_74:76","true"
"76","23.759797048876365","46.088427610243926","0.012451171875","0.02294921875","0.001953125","2600","0.0006529218395508602","0.0006529218395508602","0","0.0006529218395508602","0.0006529218395508602","76_81:0.0032175269748569435;76_61:0.00342652028626117","76_81:0.00715158995158241;76_61:0.005483771870954529","76_81:68;76_61:68","true"
"77","131.0391030471783","131.3327876446132","0.060302734375","0.0546875","0.06591796875","2600","0.00015700054714876067","0.00015700054714876067","0","0.00015700054714876067","0.00015700054714876067","77_85:0.003735127646768477;77_65:0.0016379852848304732","77_85:0.003586228325143992;77_65:0.00176517530942491","77_85:68;77_65:68","true"
